annee;code_commune;nom_commune;nb_menages_fiscaux;nb_personnes_menages_fiscaux;revenu_median
2017;69156;Pommiers;1008.0;2717.0;28050.0
2017;69157;Vindry-sur-Turdine;2089.0;5293.0;23320.0
2017;69159;Porte des Pierres Dorées;1409.0;3753.0;24740.0
2017;69160;Poule-les-Écharmeaux;438.0;1034.0;20380.0
2017;69161;Propières;231.0;481.0;18250.0
2017;69162;Quincié-en-Beaujolais;561.0;1362.0;22040.0
2017;69163;Quincieux;1286.0;3443.0;23870.0
2017;69164;Ranchal;136.0;305.0;19910.0
2017;69165;Régnié-Durette;431.0;1123.0;22360.0
2017;69166;Riverie;98.0;271.0;23310.0
2017;69167;Rivolet;220.0;589.0;22560.0
2017;69168;Rochetaillée-sur-Saône;524.0;1396.0;26150.0
2017;69169;Ronno;263.0;671.0;21690.0
2017;69170;Rontalon;445.0;1145.0;22950.0
2017;69171;Sain-Bel;1017.0;2315.0;23190.0
2017;69172;Salles-Arbuissonnas-en-Beaujolais;302.0;777.0;24170.0
2017;69173;Sarcey;394.0;997.0;24760.0
2017;69174;Les Sauvages;226.0;571.0;20420.0
2017;69175;Savigny;814.0;2064.0;24160.0
2017;69176;Soucieu-en-Jarrest;1695.0;4560.0;25270.0
2017;69177;Sourcieux-les-Mines;772.0;2070.0;25260.0
2017;69178;Souzy;298.0;767.0;21090.0
2017;69179;Beauvallon;1556.0;4173.0;25750.0
2017;69180;Saint-André-la-Côte;102.0;274.0;23670.0
2017;69181;Saint-Appolinaire;76.0;200.0;22140.0
2017;69182;Saint-Bonnet-des-Bruyères;173.0;362.0;18900.0
2017;69183;Saint-Bonnet-le-Troncy;140.0;309.0;20030.0
2017;69184;Sainte-Catherine;385.0;981.0;23430.0
2017;69186;Saint-Clément-de-Vers;89.0;201.0;21250.0
2017;69187;Saint-Clément-les-Places;261.0;659.0;21500.0
2017;69188;Saint-Clément-sur-Valsonne;295.0;792.0;21720.0
2017;69189;Sainte-Colombe;957.0;1911.0;22530.0
2017;69190;Sainte-Consorce;770.0;2093.0;28150.0
2017;69191;Saint-Cyr-au-Mont-d'Or;2210.0;5721.0;37330.0
2017;69192;Saint-Cyr-le-Chatoux;54.0;150.0;24170.0
2017;69193;Saint-Cyr-sur-le-Rhône;473.0;1311.0;29360.0
2017;69194;Saint-Didier-au-Mont-d'Or;2650.0;6861.0;38160.0
2017;69196;Saint-Didier-sur-Beaujeu;226.0;553.0;21650.0
2017;69197;Saint-Étienne-des-Oullières;822.0;2169.0;22790.0
2017;69198;Saint-Étienne-la-Varenne;288.0;729.0;24320.0
2017;69199;Saint-Fons;6667.0;17463.0;15600.0
2017;69200;Saint-Forgeux;625.0;1582.0;22760.0
2017;69201;Sainte-Foy-l'Argentière;621.0;1244.0;19120.0
2017;69202;Sainte-Foy-lès-Lyon;9479.0;22017.0;26450.0
