annee;code_commune;nom_commune;population
2017;69037;Chambost-Allières;839.0
2017;69038;Chambost-Longessaigne;938.0
2017;69039;Chamelet;682.0
2017;69040;Champagne-au-Mont-d'Or;5526.0
2017;69042;La Chapelle-sur-Coise;573.0
2017;69043;Chaponost;8717.0
2017;69044;Charbonnières-les-Bains;5067.0
2017;69045;Charentay;1240.0
2017;69046;Charly;4541.0
2017;69047;Charnay;1057.0
2017;69049;Chasselay;2784.0
2017;69050;Châtillon;2137.0
2017;69051;Chaussan;1116.0
2017;69052;Chazay-d'Azergues;4130.0
2017;69053;Chénas;545.0
2017;69054;Chénelette;321.0
2017;69055;Les Chères;1453.0
2017;69056;Chessy;2063.0
2017;69057;Chevinay;557.0
2017;69058;Chiroubles;391.0
2017;69059;Civrieux-d'Azergues;1515.0
2017;69060;Claveisolles;635.0
2017;69061;Cogny;1167.0
2017;69062;Coise;769.0
2017;69063;Collonges-au-Mont-d'Or;4052.0
2017;69064;Condrieu;3897.0
2017;69065;Corcelles-en-Beaujolais;942.0
2017;69066;Cours-la-Ville;4449.0
2017;69067;Courzieu;1118.0
2017;69068;Couzon-au-Mont-d'Or;2516.0
2017;69069;Craponne;11067.0
2017;69070;Cublize;1266.0
2017;69071;Curis-au-Mont-d'Or;1172.0
2017;69072;Dardilly;8600.0
2017;69074;Denicé;1513.0
2017;69075;Dième;186.0
2017;69076;Dommartin;2576.0
2017;69077;Dracé;956.0
2017;69078;Duerne;829.0
2017;69080;Échalas;1799.0
2017;69081;Écully;18517.0
2017;69082;Émeringes;259.0
2017;69083;Éveux;1169.0
2017;69084;Fleurie;1265.0
2017;69085;Fleurieu-sur-Saône;1449.0
2017;69086;Fleurieux-sur-l'Arbresle;2334.0
2017;69087;Fontaines-Saint-Martin;3052.0
2017;69088;Fontaines-sur-Saône;7069.0
2017;69089;Francheville;14198.0
2017;69090;Frontenas;815.0
2017;69091;Givors;19975.0
2017;69092;Gleizé;7472.0
2017;69093;Grandris;1181.0
2017;69094;Grézieu-la-Varenne;5734.0
2017;69095;Grézieu-le-Marché;815.0
2017;69096;Grigny;9662.0
2017;69097;Les Haies;785.0
2017;69098;Les Halles;492.0
2017;69099;Haute-Rivoire;1444.0
2017;69100;Irigny;8641.0
2017;69102;Joux;691.0
2017;69103;Juliénas;909.0
2017;69104;Jullié;435.0
2017;69105;Lacenas;972.0
2017;69106;Lachassagne;1118.0
2017;69107;Lamure-sur-Azergues;1048.0
2017;69108;Lancié;1021.0
2017;69109;Lantignié;880.0
2017;69110;Larajasse;1853.0
2017;69111;Légny;667.0
2017;69112;Lentilly;5793.0
2017;69113;Létra;922.0
2017;69115;Limas;4803.0
2017;69116;Limonest;3664.0
2017;69117;Lissieu;3122.0
2017;69118;Loire-sur-Rhône;2559.0
2017;69119;Longes;977.0
2017;69120;Longessaigne;595.0
2017;69121;Lozanne;2626.0
2017;69122;Lucenay;1808.0
2017;69124;Marchampt;462.0
2017;69125;Marcilly-d'Azergues;875.0
2017;69126;Marcy;726.0
2017;69127;Marcy-l'Étoile;3657.0
2017;69130;Meaux-la-Montagne;237.0
2017;69131;Messimy;3381.0
2017;69132;Meys;850.0
2017;69133;Millery;4331.0
2017;69134;Moiré;210.0
2017;69135;Monsols;1905.0
2017;69136;Montagny;2959.0
2017;69137;Montmelas-Saint-Sorlin;502.0
2017;69138;Montromant;456.0
2017;69139;Montrottier;1385.0
2017;69140;Morancé;1970.0
2017;69141;Mornant;5938.0
2017;69142;La Mulatière;6334.0
2017;69143;Neuville-sur-Saône;7514.0
2017;69145;Odenas;927.0
2017;69148;Orliénas;2444.0
2017;69149;Oullins;26273.0
2017;69151;Le Perréon;1587.0
2017;69152;Pierre-Bénite;10390.0
2017;69153;Poleymieux-au-Mont-d'Or;1332.0
2017;69154;Pollionnay;2637.0
2017;69155;Pomeys;1145.0
2017;69156;Pommiers;2637.0
2017;69157;Pontcharra-sur-Turdine;5133.0
2017;69159;Pouilly-le-Monial;3753.0
2017;69160;Poule-les-Écharmeaux;1102.0
2017;69161;Propières;468.0
2017;69162;Quincié-en-Beaujolais;1325.0
2017;69163;Quincieux;3467.0
2017;69164;Ranchal;319.0
2017;69165;Régnié-Durette;1119.0
2017;69166;Riverie;322.0
2017;69167;Rivolet;579.0
2017;69168;Rochetaillée-sur-Saône;1528.0
2017;69169;Ronno;636.0
2017;69170;Rontalon;1162.0
2017;69171;Sain-Bel;2316.0
2017;69172;Salles-Arbuissonnas-en-Beaujolais;791.0
2017;69173;Sarcey;1002.0
2017;69174;Les Sauvages;612.0
2017;69175;Savigny;2009.0
2017;69176;Soucieu-en-Jarrest;4515.0
2017;69177;Sourcieux-les-Mines;2029.0
2017;69178;Souzy;813.0
2017;69179;Saint-Andéol-le-Château;4013.0
2017;69180;Saint-André-la-Côte;284.0
2017;69181;Saint-Appolinaire;213.0
2017;69182;Saint-Bonnet-des-Bruyères;356.0
2017;69183;Saint-Bonnet-le-Troncy;313.0
2017;69184;Sainte-Catherine;980.0
2017;69186;Saint-Clément-de-Vers;226.0
2017;69187;Saint-Clément-les-Places;640.0
2017;69188;Saint-Clément-sur-Valsonne;909.0
2017;69189;Sainte-Colombe;1909.0
2017;69190;Sainte-Consorce;1939.0
2017;69191;Saint-Cyr-au-Mont-d'Or;5576.0
2017;69192;Saint-Cyr-le-Chatoux;145.0
2017;69193;Saint-Cyr-sur-le-Rhône;1306.0
2017;69194;Saint-Didier-au-Mont-d'Or;6785.0
2017;69196;Saint-Didier-sur-Beaujeu;616.0
2017;69197;Saint-Étienne-des-Oullières;2207.0
2017;69198;Saint-Étienne-la-Varenne;741.0
2017;69199;Saint-Fons;18802.0
2017;69200;Saint-Forgeux;1486.0
2017;69201;Sainte-Foy-l'Argentière;1281.0
2017;69202;Sainte-Foy-lès-Lyon;22012.0
2017;69203;Saint-Genis-l'Argentière;1041.0
2017;69204;Saint-Genis-Laval;21217.0
2017;69205;Saint-Genis-les-Ollières;4984.0
2017;69206;Saint-Georges-de-Reneins;4378.0
2017;69207;Saint-Germain-au-Mont-d'Or;3085.0
2017;69208;Saint-Germain-Nuelles;2265.0
2017;69209;Saint-Igny-de-Vers;582.0
2017;69212;Saint-Jean-des-Vignes;432.0
2017;69214;Saint-Jean-la-Bussière;1214.0
2017;69215;Saint-Julien;854.0
2017;69216;Saint-Julien-sur-Bibost;562.0
2017;69217;Saint-Just-d'Avray;747.0
2017;69218;Saint-Lager;1040.0
2017;69219;Saint-Laurent-d'Agny;2139.0
2017;69220;Saint-Laurent-de-Chamousset;1827.0
2017;69225;Saint-Marcel-l'Éclairé;524.0
2017;69227;Saint-Martin-en-Haut;3865.0
2017;69228;Saint-Maurice-sur-Dargoire;4183.0
2017;69229;Saint-Nizier-d'Azergues;790.0
2017;69230;Sainte-Paule;324.0
2017;69231;Saint-Pierre-la-Palud;2635.0
2017;69233;Saint-Romain-au-Mont-d'Or;1211.0
2017;69234;Saint-Romain-de-Popey;1560.0
2017;69235;Saint-Romain-en-Gal;1889.0
2017;69236;Saint-Romain-en-Gier;579.0
2017;69238;Saint-Symphorien-sur-Coise;3682.0
2017;69239;Saint-Vérand;1192.0
2017;69240;Saint-Vincent-de-Reins;630.0
2017;69241;Taluyers;2539.0
2017;69242;Taponas;976.0
2017;69243;Tarare;10582.0
2017;69244;Tassin-la-Demi-Lune;22297.0
2017;69245;Ternand;684.0
2017;69246;Theizé;1247.0
2017;69248;Thizy-les-Bourgs;6031.0
2017;69249;Thurins;3050.0
2017;69250;La Tour-de-Salvagny;4050.0
2017;69252;Trèves;737.0
2017;69253;Tupin-et-Semons;617.0
2017;69254;Valsonne;952.0
2017;69255;Vaugneray;5734.0
2017;69256;Vaulx-en-Velin;49658.0
2017;69257;Vaux-en-Beaujolais;1087.0
2017;69258;Vauxrenard;321.0
2017;69259;Vénissieux;65894.0
2017;69260;Vernaison;4998.0
2017;69261;Vernay;101.0
2017;69263;Villechenève;883.0
2017;69264;Villefranche-sur-Saône;36857.0
2017;69265;Ville-sur-Jarnioux;806.0
2017;69266;Villeurbanne;147712.0
2017;69267;Villié-Morgon;2111.0
2017;69268;Vourles;3411.0
2017;69269;Yzeron;1022.0
2017;69270;Chaponnay;4273.0
2017;69271;Chassieu;10359.0
2017;69272;Communay;4197.0
2017;69273;Corbas;11050.0
