CODGEO;LIBGEO;NBMEN21;NBPERS21;NBUC21;PMIMP21;Q121;Q221;Q321;Q3_Q1;D121;D221;D321;D421;D621;D721;D821;D921;RD;S80S2021;GI21;PACT21;PTSA21;PCHO21;PBEN21;PPEN21;PAUT21
01185;Plateau d'Hauteville;1980;3864;2817,1;54,0;16520;22880;30300;13780;10110;14720;17750;20300;25590;28500;32840;40590;4,0;5,2;0,295;59,0;51,7;2,5;4,8;36,2;4,8
01187;Haut Valromey;324;647;469,5;s;s;22780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01188;Illiat;251;659;425,8;s;s;23420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01189;Injoux-Génissiat;437;1019;692,4;s;s;28410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01190;Innimond;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01191;Izenave;69;152;105,8;s;s;25000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01192;Izernore;934;2213;1495,2;57,0;16640;23720;30470;13830;11390;15330;18470;21440;25810;28310;33380;40900;3,6;4,7;0,290;75,3;69,8;2,6;2,9;20,1;4,6
01193;Izieu;98;213;151,2;s;s;23030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01194;Jassans-Riottier;2599;6035;4117,3;56,0;16610;23810;31640;15030;10260;14750;18220;21290;26780;29520;34000;41300;4,0;5,1;0,293;67,9;61,5;3,1;3,3;28,5;3,6
01195;Jasseron;716;1752;1171,7;s;s;25780;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01196;Jayat;491;1212;805,7;s;s;22740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01197;Journans;177;381;266,7;s;s;25200;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01198;Joyeux;98;253;166,3;s;s;25840;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01199;Jujurieux;979;2105;1471,3;54,0;16320;22730;30500;14190;10460;15100;17860;20380;25310;28310;32710;40220;3,8;4,9;0,295;71,7;64,7;3,2;3,8;23,9;4,4
01200;Labalme;85;208;139,6;s;s;24250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01202;Lagnieu;3306;7278;5050,8;55,0;16920;23700;31650;14740;10780;15390;18410;21150;26350;29530;34090;42120;3,9;4,8;0,293;68,1;61,8;2,7;3,6;28,0;3,9
01203;Laiz;542;1298;877,5;s;s;24970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01204;Le Poizat-Lalleyriat;286;688;462,9;s;s;26160;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01206;Lantenay;115;279;188,1;s;s;25280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01207;Lapeyrouse;131;352;227,6;s;s;27590;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01208;Lavours;68;130;95,0;s;s;22100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01209;Léaz;290;723;476,0;s;s;32040;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01210;Lélex;109;203;150,1;s;s;23230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01211;Lent;635;1481;1007,6;s;s;24730;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01212;Lescheroux;288;697;467,5;s;s;21590;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01213;Leyment;543;1425;926,8;s;s;23790;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01214;Leyssard;71;153;108,3;s;s;25710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01215;Surjoux-Lhopital;54;132;88,6;s;s;24340;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01216;Lhuis;361;807;564,7;s;s;24000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
