CODGEO;LIBGEO;NBMENFISC12;NBPERSMENFISC12;MED12;PIMP12;TP6012;TP60AGE112;TP60AGE212;TP60AGE312;TP60AGE412;TP60AGE512;TP60AGE612;TP60TOL112;TP60TOL212;PR12;PRA12;PTSAC12;PBEN12;PPEN12;PPAT12;PPSOC12;PPFAM12;PPMINI12;PPLOGT12;PIMPOT12;RD12;D112;D912
01215;Lhôpital;;;;;;;;;;;;;;;;;;;;;;;;;;;
01216;Lhuis;358;833.5;19755.4;;;;;;;;;;;;;;;;;;;;;;;;
01218;Lochieu;;;;;;;;;;;;;;;;;;;;;;;;;;;
01219;Lompnas;74;165.0;16534.3;;;;;;;;;;;;;;;;;;;;;;;;
01221;Lompnieu;57;116.0;19695.0;;;;;;;;;;;;;;;;;;;;;;;;
01224;Loyettes;1151;3110.0;20535.0;64;9;8;9;11;9;7;;6;19;100.0;82.2;77.3;4.9;18.7;8.1;5.2;3.6;0.7;0.9;-14.2;2.7;12119.0;32395.0
01225;Lurcy;144;392.0;23847.0;;;;;;;;;;;;;;;;;;;;;;;;
01227;Magnieu;187;454.5;21121.5;;;;;;;;;;;;;;;;;;;;;;;;
01228;Maillat;259;659.0;21391.9;;;;;;;;;;;;;;;;;;;;;;;;
01229;Malafretaz;415;1057.5;20585.2;;;;;;;;;;;;;;;;;;;;;;;;
01230;Mantenay-Montlin;133;330.5;18632.0;;;;;;;;;;;;;;;;;;;;;;;;
01231;Manziat;774;1992.0;20517.1;;;;;;;;;;;;;;;;;;;;;;;;
01232;Marboz;914;2125.0;19900.8;64;6;;2;6;5;8;11;5;12;100.0;71.0;66.5;4.5;28.4;12.0;3.5;2.2;0.6;0.7;-14.9;2.7;12923.3;35280.0
01233;Marchamp;61;140.0;19992.0;;;;;;;;;;;;;;;;;;;;;;;;
01234;Marignieu;73;171.0;20639.3;;;;;;;;;;;;;;;;;;;;;;;;
01235;Marlieux;399;1025.5;20257.5;;;;;;;;;;;;;;;;;;;;;;;;
01236;Marsonnas;399;991.0;20007.8;;;;;;;;;;;;;;;;;;;;;;;;
01237;Martignat;598;1704.5;19887.2;;;;;;;;;;;;;;;;;;;;;;;;
01238;Massieux;887;2509.5;24150.0;79;3;;1;3;3;2;;2;6;100.0;80.5;75.3;5.2;23.2;10.6;2.6;2.1;0.2;0.3;-16.9;2.6;15604.6;39925.3
01239;Massignieu-de-Rives;249;633.0;21595.5;;;;;;;;;;;;;;;;;;;;;;;;
01240;Matafelon-Granges;273;670.0;20177.5;;;;;;;;;;;;;;;;;;;;;;;;
01241;Meillonnas;492;1195.0;24282.8;;;;;;;;;;;;;;;;;;;;;;;;
01242;Mérignat;57;124.0;17876.7;;;;;;;;;;;;;;;;;;;;;;;;
01243;Messimy-sur-Saône;465;1241.5;22746.5;;;;;;;;;;;;;;;;;;;;;;;;
01244;Meximieux;3029;7310.0;21031.5;68;10;10;10;13;10;8;10;3;19;100.0;80.0;77.1;2.9;20.6;9.8;4.9;2.6;0.9;1.3;-15.3;3.1;11791.0;35999.5
01245;Bohas-Meyriat-Rignat;368;866.0;21747.9;;;;;;;;;;;;;;;;;;;;;;;;
01246;Mézériat;864;2115.5;19828.7;62;11;;5;14;12;10;;6;23;100.0;69.6;63.9;5.7;27.2;12.4;4.8;2.5;1.1;1.1;-14.0;3.0;11416.0;34104.7
01247;Mijoux;152;354.5;23403.5;;;;;;;;;;;;;;;;;;;;;;;;
01248;Mionnay;733;2154.5;24492.4;83;4;;7;3;2;4;;2;13;100.0;87.5;81.0;6.5;15.9;11.3;2.6;2.0;0.3;0.4;-17.3;2.8;15369.0;42371.3
01249;Miribel;3690;8992.5;22260.0;73;9;11;11;10;7;6;7;3;17;100.0;78.5;73.9;4.6;22.8;11.4;3.8;2.1;0.7;1.0;-16.5;3.1;12588.9;39221.1
01250;Misérieux;621;1775.5;23962.0;;;;;;;;;;;;;;;;;;;;;;;;
01252;Mogneneins;302;805.0;21525.0;;;;;;;;;;;;;;;;;;;;;;;;
01254;Montagnat;663;1807.5;24902.8;;;;;;;;;;;;;;;;;;;;;;;;
01255;Montagnieu;237;574.5;19559.3;;;;;;;;;;;;;;;;;;;;;;;;
01257;Montanges;125;310.5;24537.5;;;;;;;;;;;;;;;;;;;;;;;;
01258;Montceaux;422;1231.5;22061.9;;;;;;;;;;;;;;;;;;;;;;;;
01259;Montcet;223;643.0;20792.5;;;;;;;;;;;;;;;;;;;;;;;;
01260;Le Montellier;92;266.5;24896.0;;;;;;;;;;;;;;;;;;;;;;;;
01261;Monthieux;233;652.5;23971.7;;;;;;;;;;;;;;;;;;;;;;;;
01262;Montluel;2798;6940.0;19820.8;65;13;16;13;15;10;13;10;3;25;100.0;79.4;74.8;4.6;20.7;9.7;5.3;2.9;1.1;1.4;-15.1;3.2;10968.8;35070.8
